Keyword / Suchanfrage;bestehende Zielseite;Klicks;Impressionen;CTR;Position;Suchvolumen;CPC;Suchintention;Themencluster;Hauptkeyword oder Nebenkeyword;passende bestehende Seite;mögliche neue Seite;Kannibalisierungsrisiko;Priorität;Handlungsempfehlung;Begründung;Datenquelle;Datenart;URL-Impressionen (nicht Keyword-Messwert)
Chiptuning Raum Erfurt;https://powertech-performance.com/blog/chiptuning-raumerfurt/;;;;;;;informativ / teilweise kommerziell;Chiptuning;Hauptkeyword (vermutet);https://powertech-performance.com/chiptuning;;"K2: hoch; gleiche kommerzielle Intention vermutet";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Fahrzeugaufbereitung Erfurt;https://powertech-performance.com/blog/fahrzeugaufbereitung-erfurt/;;;;;;;informativ / teilweise kommerziell;Autoaufbereitung;Hauptkeyword (vermutet);https://powertech-performance.com/;;"K5: hoch; mehrere lokale Angebotsseiten";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Flugzeugaufbereitung Erfurt;https://powertech-performance.com/blog/flugzeugaufbereitung-innenreinigung-erfurt/;;;;;;;informativ / teilweise kommerziell;Innenraumreinigung;Hauptkeyword (vermutet);https://powertech-performance.com/blog/flugzeugaufbereitung-innenreinigung-erfurt/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Haltbarkeit Keramikversiegelung;https://powertech-performance.com/blog/haltbarkeit-keramikversiegelung-lackschutz/;;;;;;;informativ / teilweise kommerziell;Keramikversiegelung;Hauptkeyword (vermutet);https://powertech-performance.com/blog/haltbarkeit-keramikversiegelung-lackschutz/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";1
harte und weiche Autolacke;https://powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung/;;;;;;;informativ / teilweise kommerziell;Lackaufbereitung;Hauptkeyword (vermutet);https://powertech-performance.com/blog/harte-weiche-autolacke-lackaufbereitung/;;"K1: hoch; Inhaltsduplikat bestätigt";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";1
harte und weiche Autolacke;https://powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung-2/;;;;;;;informativ / teilweise kommerziell;Lackaufbereitung;Hauptkeyword (vermutet);https://powertech-performance.com/blog/harte-weiche-autolacke-lackaufbereitung/;;"K1: hoch; Inhaltsduplikat bestätigt";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";1
harte und weiche Autolacke;https://powertech-performance.com/blog/harte-weiche-autolacke-lackaufbereitung/;;;;;;;informativ / teilweise kommerziell;Lackaufbereitung;Hauptkeyword (vermutet);https://powertech-performance.com/blog/harte-weiche-autolacke-lackaufbereitung/;;"K1: hoch; Inhaltsduplikat bestätigt";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";2
Autoaufbereitung Blog;https://powertech-performance.com/blog/;;;;;;;informativ / teilweise kommerziell;Autoaufbereitung;Hauptkeyword (vermutet);https://powertech-performance.com/blog/;;"nicht belegt; Query-URL-Daten fehlen";P1;bestehenden Content erweitern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";1
Innenreinigung Auto in der Nähe;https://powertech-performance.com/blog/innenreinigung-auto-in-der-naehe/;;;;;;;informativ / teilweise kommerziell;Innenraumreinigung;Hauptkeyword (vermutet);https://powertech-performance.com/blog/innenreinigung-auto-in-der-naehe/;;"K4: hoch; gleiche lokale Leistungsintention";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Keramik für Auto Erfurt;https://powertech-performance.com/blog/keramik-fuer-auto-erfurt-vorteile-haltbarkeit/;;;;;;;informativ / teilweise kommerziell;Keramikversiegelung;Hauptkeyword (vermutet);https://powertech-performance.com/luxus-aufbereitung;;"K3: hoch; breite Leistungsversprechen überlappen";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Keramikversiegelung Erfurt;https://powertech-performance.com/blog/keramikversiegelung-erfurt-high-end-lackschutz-powertech-performance/;;;;;;;informativ / teilweise kommerziell;Keramikversiegelung;Hauptkeyword (vermutet);https://powertech-performance.com/luxus-aufbereitung;;"K3: hoch; breite Leistungsversprechen überlappen";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Keramikversiegelung Profi;https://powertech-performance.com/blog/keramikversiegelung-profi-lackschutz/;;;;;;;informativ / teilweise kommerziell;Keramikversiegelung;Hauptkeyword (vermutet);https://powertech-performance.com/luxus-aufbereitung;;"K3: hoch; breite Leistungsversprechen überlappen";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Lackierung Oldtimer Erfurt;https://powertech-performance.com/blog/lackierung-oldtimer-erfurt-lackaufbereitung-keramik/;;;;;;;informativ / teilweise kommerziell;Spezialfahrzeuge;Hauptkeyword (vermutet);https://powertech-performance.com/blog/lackierung-oldtimer-erfurt-lackaufbereitung-keramik/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Lackkorrektur;https://powertech-performance.com/blog/lackkorrektur-wofuer-gut-werterhalt/;;;;;;;informativ / teilweise kommerziell;Lackaufbereitung;Hauptkeyword (vermutet);https://powertech-performance.com/blog/lackkorrektur-wofuer-gut-werterhalt/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Leasing-Rückgabe Aufbereitung;https://powertech-performance.com/blog/leasing-rueckgabe-aufbereitung-erfurt/;;;;;;;informativ / teilweise kommerziell;Leasingrückgabe;Hauptkeyword (vermutet);https://powertech-performance.com/blog/leasing-rueckgabe-aufbereitung-erfurt/;;"K6: mittel; ähnliche kommerzielle Intention";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Leasingauto aufbereiten;https://powertech-performance.com/blog/leasingauto-aufbereiten/;;;;;;;informativ / teilweise kommerziell;Leasingrückgabe;Hauptkeyword (vermutet);https://powertech-performance.com/blog/leasing-rueckgabe-aufbereitung-erfurt/;;"K6: mittel; ähnliche kommerzielle Intention";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Leasingrückgabe Checkliste;https://powertech-performance.com/blog/leasingrueckgabe-checkliste/;;;;;;;informativ / teilweise kommerziell;Leasingrückgabe;Hauptkeyword (vermutet);https://powertech-performance.com/blog/leasingrueckgabe-checkliste/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Motorradaufbereitung Keramikversiegelung;https://powertech-performance.com/blog/motorradaufbereitung-keramikversiegelung-experte/;;;;;;;informativ / teilweise kommerziell;Spezialfahrzeuge;Hauptkeyword (vermutet);https://powertech-performance.com/blog/motorradaufbereitung-keramikversiegelung-experte/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";2
Motorwäsche Erfurt;https://powertech-performance.com/blog/motorwaesche-erfurt-vorteile-kosten/;;;;;;;informativ / teilweise kommerziell;Motorraumwäsche;Hauptkeyword (vermutet);https://powertech-performance.com/blog/motorwaesche-erfurt-vorteile-kosten/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Oldtimer Aufbereitung Erfurt;https://powertech-performance.com/blog/oldtimer-aufbereitung-erfurt-wertschonende-pflege/;;;;;;;informativ / teilweise kommerziell;Spezialfahrzeuge;Hauptkeyword (vermutet);https://powertech-performance.com/blog/oldtimer-aufbereitung-erfurt-wertschonende-pflege/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";1
Porsche Aufbereitung Erfurt;https://powertech-performance.com/blog/porsche-aufbereitung-erfurt-keramikversiegelung-zertifiziert/;;;;;;;informativ / teilweise kommerziell;Spezialfahrzeuge;Hauptkeyword (vermutet);https://powertech-performance.com/blog/porsche-aufbereitung-erfurt-keramikversiegelung-zertifiziert/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Cabrioverdeck Imprägnierung;https://powertech-performance.com/blog/professionelle-cabrioverdeck-impraegnierung-und-reinigung/;;;;;;;informativ / teilweise kommerziell;Spezialfahrzeuge;Hauptkeyword (vermutet);https://powertech-performance.com/blog/professionelle-cabrioverdeck-impraegnierung-und-reinigung/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Innenreinigung Auto in der Nähe;https://powertech-performance.com/blog/professionelle-innenreinigung-auto-in-der-naehe/;;;;;;;informativ / teilweise kommerziell;Innenraumreinigung;Hauptkeyword (vermutet);https://powertech-performance.com/blog/innenreinigung-auto-in-der-naehe/;;"K4: hoch; gleiche lokale Leistungsintention";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Professionelle Keramikversiegelung;https://powertech-performance.com/blog/professionelle-keramikversiegelung-erfurt/;;;;;;;informativ / teilweise kommerziell;Keramikversiegelung;Hauptkeyword (vermutet);https://powertech-performance.com/luxus-aufbereitung;;"K3: hoch; breite Leistungsversprechen überlappen";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Profi Keramikversiegelung;https://powertech-performance.com/blog/profi-keramikversiegelung/;;;;;;;informativ / teilweise kommerziell;Keramikversiegelung;Hauptkeyword (vermutet);https://powertech-performance.com/luxus-aufbereitung;;"K3: hoch; breite Leistungsversprechen überlappen";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
DPF Off Erfurt;https://powertech-performance.com/blog/softwareoptimierung-dpf-off-erfurt/;;;;;;;informativ / teilweise kommerziell;AdBlue / SCR / DPF;Hauptkeyword (vermutet);https://powertech-performance.com/blog/softwareoptimierung-dpf-off-erfurt/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Softwareoptimierung Erfurt;https://powertech-performance.com/blog/softwareoptimierung-erfurt/;;;;;;;informativ / teilweise kommerziell;Chiptuning;Hauptkeyword (vermutet);https://powertech-performance.com/chiptuning;;"K2: hoch; gleiche kommerzielle Intention vermutet";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
was kostet Auto Innenreinigung;https://powertech-performance.com/blog/was-kostet-eine-auto-reinigung/;;;;;;;informativ / teilweise kommerziell;Innenraumreinigung;Hauptkeyword (vermutet);https://powertech-performance.com/blog/was-kostet-eine-auto-reinigung/;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
wie lange dauert AdBlue Off;https://powertech-performance.com/blog/wie-lange-dauert-adblue-off/;;;;;;;informativ / teilweise kommerziell;AdBlue / SCR / DPF;Hauptkeyword (vermutet);https://powertech-performance.com/adblue-service;;"K7: mittel; gemischte Informations-/Angebotsintention, widersprüchliche Positionierung";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";6
wie oft Auto aufbereiten lassen;https://powertech-performance.com/blog/wie-oft-auto-aufbereiten-lassen.html;;;;;;;informativ / teilweise kommerziell;Autoaufbereitung;Hauptkeyword (vermutet);https://powertech-performance.com/blog/wie-oft-auto-aufbereiten-lassen.html;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";9
Chiptuning Erfurt;https://powertech-performance.com/chiptuning;;;;;;;kommerziell / lokal;Chiptuning;Hauptkeyword (vermutet);https://powertech-performance.com/chiptuning;;"K2: hoch; gleiche kommerzielle Intention vermutet";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Autoaufbereitung Eisenach;https://powertech-performance.com/eisenach;;;;;;;kommerziell / lokal;Einzugsgebiet;Hauptkeyword (vermutet);https://powertech-performance.com/eisenach;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Fahrzeugaufbereitung Erfurt;https://powertech-performance.com/fahrzeugaufbereitung-aus-erfurt;;;;;;;kommerziell / lokal;Autoaufbereitung;Hauptkeyword (vermutet);https://powertech-performance.com/;;"K5: hoch; mehrere lokale Angebotsseiten";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Autoaufbereitung Gera;https://powertech-performance.com/gera;;;;;;;kommerziell / lokal;Einzugsgebiet;Hauptkeyword (vermutet);https://powertech-performance.com/gera;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Autoaufbereitung Glossar;https://powertech-performance.com/glosar;;;;;;;kommerziell / lokal;Autoaufbereitung;Hauptkeyword (vermutet);https://powertech-performance.com/glosar;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Autoaufbereitung Gotha;https://powertech-performance.com/gotha;;;;;;;kommerziell / lokal;Einzugsgebiet;Hauptkeyword (vermutet);https://powertech-performance.com/gotha;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Autoaufbereitung Erfurt;https://powertech-performance.com/;;;;;;;kommerziell / lokal;Autoaufbereitung;Hauptkeyword (vermutet);https://powertech-performance.com/;;"K5: hoch; mehrere lokale Angebotsseiten";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";130
Autoaufbereitung Jena;https://powertech-performance.com/jena;;;;;;;kommerziell / lokal;Einzugsgebiet;Hauptkeyword (vermutet);https://powertech-performance.com/jena;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Keramikversiegelung Erfurt Garantie;https://powertech-performance.com/luxus-aufbereitung;;;;;;;kommerziell / lokal;Keramikversiegelung;Hauptkeyword (vermutet);https://powertech-performance.com/luxus-aufbereitung;;"K3: hoch; breite Leistungsversprechen überlappen";P1;bestehende Seite optimieren;"Seitenindex-Hypothese. Zielseitenrolle im Cluster abgrenzen; Hauptziel ist Planungsvorschlag, kein Rankinggewinner.";Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Autoaufbereitung Nordhausen;https://powertech-performance.com/nordhausen;;;;;;;kommerziell / lokal;Einzugsgebiet;Hauptkeyword (vermutet);https://powertech-performance.com/nordhausen;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
Termin Autoaufbereitung Erfurt;https://powertech-performance.com/online-termin-buchen;;;;;;;navigational;Kontakt / Service / Recht;Hauptkeyword (vermutet);https://powertech-performance.com/online-termin-buchen;;"nicht belegt; Query-URL-Daten fehlen";P2;interne Verlinkung verbessern;Seitenindex-Hypothese. Themenrelevante Einstiegslinks und Nutzwert verbessern.;Datei Manager/seo-url-index.csv;"Keyword-Hypothese; keine beobachtete Suchanfrage";
