Keyword / Suchanfrage;bestehende Zielseite;Klicks;Impressionen;CTR;Position;Suchvolumen;CPC;Suchintention;Themencluster;Hauptkeyword oder Nebenkeyword;passende bestehende Seite;mögliche neue Seite;Kannibalisierungsrisiko;Priorität;Handlungsempfehlung;Status;Begründung;Datenquelle;Datenart;URL-Impressionen (nicht Keyword-Messwert);Ursprüngliches vermutetes Keyword;Veröffentlichung
Boot Keramikversiegelung;https://www.powertech-performance.com/blog/boot-aufbereitung-keramikversiegelung-marine/;;;;;;;informativ / teilweise kommerziell;Spezialfahrzeuge;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/boot-aufbereitung-keramikversiegelung-marine/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;4;Boot Keramikversiegelung;ausstehend
Chiptuning Risiken und Voraussetzungen;https://www.powertech-performance.com/blog/chiptuning-raum-erfurt/;;;;;;;informativ;Chiptuning;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/chiptuning-raum-erfurt/;;"K2: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Chiptuning Raum Erfurt;ausstehend
Chiptuning Beratung Fahrzeugdaten;https://www.powertech-performance.com/blog/chiptuning-raumerfurt/;;;;;;;informativ;Chiptuning;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/chiptuning-raumerfurt/;;"K2: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Chiptuning Raum Erfurt;ausstehend
Fahrzeugaufbereitung Erfurt;https://www.powertech-performance.com/blog/fahrzeugaufbereitung-erfurt/;;;;;;;informativ / teilweise kommerziell;Autoaufbereitung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/fahrzeugaufbereitung-erfurt/;;"K5: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Fahrzeugaufbereitung Erfurt;ausstehend
Flugzeugaufbereitung Erfurt;https://www.powertech-performance.com/blog/flugzeugaufbereitung-innenreinigung-erfurt/;;;;;;;informativ / teilweise kommerziell;Innenraumreinigung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/flugzeugaufbereitung-innenreinigung-erfurt/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Flugzeugaufbereitung Erfurt;ausstehend
Haltbarkeit Keramikversiegelung;https://www.powertech-performance.com/blog/haltbarkeit-keramikversiegelung-lackschutz/;;;;;;;informativ / teilweise kommerziell;Keramikversiegelung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/haltbarkeit-keramikversiegelung-lackschutz/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;1;Haltbarkeit Keramikversiegelung;ausstehend
harte und weiche Autolacke;https://www.powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung/;;;;;;;informativ;Lackaufbereitung;Nebenkeyword / historische Fassung;https://www.powertech-performance.com/blog/harte-weiche-autolacke-lackaufbereitung/;;"K1: Canonical-Zuordnung umgesetzt; Google-Auswahl nach Veröffentlichung prüfen";P1;beobachten;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;1;harte und weiche Autolacke;ausstehend
harte und weiche Autolacke;https://www.powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung-2/;;;;;;;informativ;Lackaufbereitung;Nebenkeyword / historische Fassung;https://www.powertech-performance.com/blog/harte-weiche-autolacke-lackaufbereitung/;;"K1: Canonical-Zuordnung umgesetzt; Google-Auswahl nach Veröffentlichung prüfen";P1;beobachten;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;1;harte und weiche Autolacke;ausstehend
harte und weiche Autolacke;https://www.powertech-performance.com/blog/harte-weiche-autolacke-lackaufbereitung/;;;;;;;informativ;Lackaufbereitung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/harte-weiche-autolacke-lackaufbereitung/;;"K1: Canonical-Zuordnung umgesetzt; Google-Auswahl nach Veröffentlichung prüfen";P1;beobachten;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;2;harte und weiche Autolacke;ausstehend
Autoaufbereitung Blog;https://www.powertech-performance.com/blog/;;;;;;;informativ / teilweise kommerziell;Autoaufbereitung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;1;Autoaufbereitung Blog;ausstehend
Innenreinigung Auto Erfurt;https://www.powertech-performance.com/blog/innenreinigung-auto-in-der-naehe/;;;;;;;kommerziell / lokal;Innenraumreinigung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/innenreinigung-auto-in-der-naehe/;;"K4: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Innenreinigung Auto in der Nähe;ausstehend
Keramik Auto Vorteile;https://www.powertech-performance.com/blog/keramik-fuer-auto-erfurt-vorteile-haltbarkeit/;;;;;;;informativ;Keramikversiegelung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/keramik-fuer-auto-erfurt-vorteile-haltbarkeit/;;"K3: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Keramik für Auto Erfurt;ausstehend
Keramikversiegelung Lackzustand;https://www.powertech-performance.com/blog/keramikversiegelung-erfurt-high-end-lackschutz-powertech-performance/;;;;;;;informativ;Keramikversiegelung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/keramikversiegelung-erfurt-high-end-lackschutz-powertech-performance/;;"K3: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Keramikversiegelung Erfurt;ausstehend
Keramikversiegelung Profi oder selber;https://www.powertech-performance.com/blog/keramikversiegelung-profi-lackschutz/;;;;;;;informativ;Keramikversiegelung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/keramikversiegelung-profi-lackschutz/;;"K3: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Keramikversiegelung Profi;ausstehend
Lackierung Oldtimer Erfurt;https://www.powertech-performance.com/blog/lackierung-oldtimer-erfurt-lackaufbereitung-keramik/;;;;;;;informativ / teilweise kommerziell;Spezialfahrzeuge;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/lackierung-oldtimer-erfurt-lackaufbereitung-keramik/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Lackierung Oldtimer Erfurt;ausstehend
Lackkorrektur;https://www.powertech-performance.com/blog/lackkorrektur-wofuer-gut-werterhalt/;;;;;;;informativ / teilweise kommerziell;Lackaufbereitung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/lackkorrektur-wofuer-gut-werterhalt/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Lackkorrektur;ausstehend
Leasingrückgabe Aufbereitung Erfurt;https://www.powertech-performance.com/blog/leasing-rueckgabe-aufbereitung-erfurt/;;;;;;;kommerziell / lokal;Leasingrückgabe;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/leasing-rueckgabe-aufbereitung-erfurt/;;"K6: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Leasing-Rückgabe Aufbereitung;ausstehend
Leasingauto aufbereiten;https://www.powertech-performance.com/blog/leasingauto-aufbereiten/;;;;;;;informativ / teilweise kommerziell;Leasingrückgabe;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/leasingauto-aufbereiten/;;"K6: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Leasingauto aufbereiten;ausstehend
Leasingrückgabe Checkliste;https://www.powertech-performance.com/blog/leasingrueckgabe-checkliste/;;;;;;;informativ;Leasingrückgabe;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/leasingrueckgabe-checkliste/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Leasingrückgabe Checkliste;ausstehend
Motorradaufbereitung Keramikversiegelung;https://www.powertech-performance.com/blog/motorradaufbereitung-keramikversiegelung-experte/;;;;;;;informativ / teilweise kommerziell;Spezialfahrzeuge;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/motorradaufbereitung-keramikversiegelung-experte/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;2;Motorradaufbereitung Keramikversiegelung;ausstehend
Motorraumwäsche Erfurt;https://www.powertech-performance.com/blog/motorwaesche-erfurt-vorteile-kosten/;;;;;;;informativ / kommerziell;Motorraumwäsche;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/motorwaesche-erfurt-vorteile-kosten/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Motorwäsche Erfurt;ausstehend
Oldtimer Aufbereitung Erfurt;https://www.powertech-performance.com/blog/oldtimer-aufbereitung-erfurt-wertschonende-pflege/;;;;;;;informativ / teilweise kommerziell;Spezialfahrzeuge;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/oldtimer-aufbereitung-erfurt-wertschonende-pflege/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;1;Oldtimer Aufbereitung Erfurt;ausstehend
Porsche Aufbereitung Erfurt;https://www.powertech-performance.com/blog/porsche-aufbereitung-erfurt-keramikversiegelung-zertifiziert/;;;;;;;informativ / teilweise kommerziell;Spezialfahrzeuge;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/porsche-aufbereitung-erfurt-keramikversiegelung-zertifiziert/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Porsche Aufbereitung Erfurt;ausstehend
Cabrioverdeck Imprägnierung;https://www.powertech-performance.com/blog/professionelle-cabrioverdeck-impraegnierung-und-reinigung/;;;;;;;informativ / teilweise kommerziell;Spezialfahrzeuge;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/professionelle-cabrioverdeck-impraegnierung-und-reinigung/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Cabrioverdeck Imprägnierung;ausstehend
Auto Innenreinigung vorbereiten;https://www.powertech-performance.com/blog/professionelle-innenreinigung-auto-in-der-naehe/;;;;;;;informativ;Innenraumreinigung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/professionelle-innenreinigung-auto-in-der-naehe/;;"K4: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Innenreinigung Auto in der Nähe;ausstehend
Keramikversiegelung Leistungsumfang;https://www.powertech-performance.com/blog/professionelle-keramikversiegelung-erfurt/;;;;;;;informativ;Keramikversiegelung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/professionelle-keramikversiegelung-erfurt/;;"K3: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Professionelle Keramikversiegelung;ausstehend
Keramikversiegelung Vorbereitung;https://www.powertech-performance.com/blog/profi-keramikversiegelung/;;;;;;;informativ;Keramikversiegelung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/profi-keramikversiegelung/;;"K3: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Profi Keramikversiegelung;ausstehend
DPF Off Erfurt;https://www.powertech-performance.com/blog/softwareoptimierung-dpf-off-erfurt/;;;;;;;informativ / teilweise kommerziell;AdBlue / SCR / DPF;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/softwareoptimierung-dpf-off-erfurt/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;DPF Off Erfurt;ausstehend
Softwareoptimierung Fahrzeug Beratung;https://www.powertech-performance.com/blog/softwareoptimierung-erfurt/;;;;;;;informativ;Chiptuning;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/softwareoptimierung-erfurt/;;"K2: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Softwareoptimierung Erfurt;ausstehend
was kostet Auto Innenreinigung;https://www.powertech-performance.com/blog/was-kostet-eine-auto-reinigung/;;;;;;;informativ / teilweise kommerziell;Innenraumreinigung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/was-kostet-eine-auto-reinigung/;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;was kostet Auto Innenreinigung;ausstehend
AdBlue Diagnose Dauer;https://www.powertech-performance.com/blog/wie-lange-dauert-adblue-off/;;;;;;;informativ;AdBlue / SCR / DPF;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/wie-lange-dauert-adblue-off/;;"K7: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;6;wie lange dauert AdBlue Off;ausstehend
